"","season","maxtemp","avg_mintemp","avg_meantemp","avg_heatdegdays","avg_totalprecip","avg_maxwind"
"1","EM11",14.152,1.86842105263158,8.13066666666667,9.91066666666667,2.16842105263158,39.5131578947368
"2","EM12",15.7394736842105,1.90131578947368,8.84078947368421,9.24210526315789,1.80133333333333,38.9868421052632
"3","EM13",12.524,-0.53421052631579,5.99466666666667,12.0053333333333,0.638666666666667,38.8684210526316
"4","EM14",12.8647887323944,0.514666666666667,6.91142857142857,11.3014285714286,2.02777777777778,36.8428571428571
"5","EM15",16.4173333333333,1.16184210526316,8.764,9.30666666666667,1.33466666666667,40.4210526315789
"6","EM16",14.9085714285714,1.87142857142857,8.42608695652174,9.76376811594203,1.20869565217391,38.25
"7","EM17",15.9013157894737,2.52105263157895,9.23421052631579,8.95789473684211,1.09868421052632,38.9605263157895
"8","IM11",20.2555555555556,6.20888888888889,13.2577777777778,5.19333333333333,1.17777777777778,41.6444444444444
"9","IM12",15.9045454545455,2.63111111111111,9.31363636363636,8.77045454545454,1.12272727272727,39.2222222222222
"10","IM13",19.1177777777778,4.34888888888889,11.7577777777778,6.40666666666667,0.677777777777778,37.0888888888889
"11","IM14",15.5659090909091,4.42666666666667,9.91590909090909,8.22272727272727,2.23255813953488,37.5777777777778
"12","IM15",18.1340909090909,5.70666666666667,11.8886363636364,6.49772727272727,1.29090909090909,39.5777777777778
"13","IM16",16.325,5.60444444444444,10.9204545454545,7.21363636363636,1.70909090909091,37.8888888888889
"14","IM17",16.4477272727273,4.72954545454545,10.6906976744186,7.51162790697674,1.96279069767442,42.6590909090909
"15","S11",26.2,11.9909090909091,19.024,0.714666666666667,1.08961038961039,37.5194805194805
"16","S12",25.8012987012987,11.7545454545455,18.8051948051948,1.05064935064935,4.47922077922078,36.9090909090909
"17","S13",24.9779220779221,11.0311688311688,18.0272727272727,1.41298701298701,2.02894736842105,35.7142857142857
"18","S14",23.8631578947368,11.4779220779221,17.7197368421053,1.43289473684211,3.02894736842105,36.8181818181818
"19","S15",24.7640625,10.9328125,17.8222222222222,1.47142857142857,1.84444444444444,38.578125
"20","S16",24.5337662337662,11.712,18.1546666666667,1.116,3.53918918918919,37
"21","S17",24.5065789473684,10.2103896103896,17.3618421052632,1.45131578947368,1.69605263157895,36.6363636363636
"22","W10_11",-6.26107784431138,-16.6431137724551,-11.4676646706587,29.4676646706587,1.01867469879518,35.1137724550898
"23","W11_12",-0.903012048192771,-11.2712574850299,-6.1144578313253,24.1144578313253,0.494578313253012,37.3892215568862
"24","W12_13",-6.825,-17.0577380952381,-11.960119047619,29.960119047619,0.920958083832335,34.9821428571429
"25","W13_14",-9.25089820359281,-20.6796407185629,-14.9862275449102,32.9862275449102,1.46962025316456,37.2181818181818
"26","W14_15",-5.52264150943396,-15.6354430379747,-10.5407643312102,28.5407643312102,0.684313725490196,37.5063291139241
"27","W15_16",-2.22,-11.2475903614458,-6.68909090909091,24.6890909090909,0.622981366459627,35.7245508982036
"28","W16_17",-2.71013513513514,-11.3891719745223,-7.11172413793103,25.111724137931,0.793430656934307,35.6415094339623
